test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
Z01_sp5_h15,854.9,50 000.00,12 081.46,2.03,3 042.16 (4.67%),3 904.82 (7.03%),3040,6080,2846 (93.62%),194 (6.38%),23 776.18,-11 694.72,3.09,7.32,987.42,-1 213.71
H04_base_harv3,1801.3,,,,,,,,,,,,,,,
Z01_sp5_h20,870.8,50 000.00,12 277.35,1.93,3 256.40 (4.97%),4 648.38 (8.30%),3069,6138,2855 (93.03%),214 (6.97%),25 422.66,-13 145.31,2.64,7.04,1 311.45,-1 018.08
Z01_sp5_h20,846.5,50 000.00,12 277.35,1.93,3 256.40 (4.97%),4 648.38 (8.30%),3069,6138,2855 (93.03%),214 (6.97%),25 422.66,-13 145.31,2.64,7.04,1 311.45,-1 018.08
Z01_sp5_h20,190.3,50 000.00,12 277.35,1.93,3 256.40 (4.97%),4 648.38 (8.30%),3069,6138,2855 (93.03%),214 (6.97%),25 422.66,-13 145.31,2.64,7.04,1 311.45,-1 018.08
W05_sp10_A05,1801.1,,,,,,,,,,,,,,,
Z01_sp5_h10,1801.4,,,,,,,,,,,,,,,
W07_sp15_A05,1801.3,,,,,,,,,,,,,,,
H04_base_harv3,1801.1,,,,,,,,,,,,,,,
Z01_sp5_h30,824.4,50 000.00,12 812.83,1.86,3 375.63 (5.10%),3 569.18 (6.04%),3087,6174,2856 (92.52%),231 (7.48%),27 655.43,-14 842.60,3.59,8.63,2 094.61,-1 198.60
Z01_sp5_h30,824.4,50 000.00,12 812.83,1.86,3 375.63 (5.10%),3 569.18 (6.04%),3087,6174,2856 (92.52%),231 (7.48%),27 655.43,-14 842.60,3.59,8.63,2 094.61,-1 198.60
Z01_sp5_h30,827.0,50 000.00,12 812.83,1.86,3 375.63 (5.10%),3 569.18 (6.04%),3087,6174,2856 (92.52%),231 (7.48%),27 655.43,-14 842.60,3.59,8.63,2 094.61,-1 198.60
H05_base_harv5,1801.3,,,,,,,,,,,,,,,
Z01_sp5_h50,860.8,50 000.00,9 061.17,1.54,6 754.96 (10.26%),8 353.93 (14.15%),3044,6088,2840 (93.30%),204 (6.70%),25 911.48,-16 850.31,1.08,3.78,2 935.40,-3 035.54
Z01_sp5_h50,862.7,50 000.00,9 061.17,1.54,6 754.96 (10.26%),8 353.93 (14.15%),3044,6088,2840 (93.30%),204 (6.70%),25 911.48,-16 850.31,1.08,3.78,2 935.40,-3 035.54
Z01_sp5_h50,863.2,50 000.00,9 061.17,1.54,6 754.96 (10.26%),8 353.93 (14.15%),3044,6088,2840 (93.30%),204 (6.70%),25 911.48,-16 850.31,1.08,3.78,2 935.40,-3 035.54
W06_sp10_lvl5_r2,1801.3,,,,,,,,,,,,,,,
Z01_sp5_h15,1801.5,,,,,,,,,,,,,,,
W08_sp20_A05,1801.6,,,,,,,,,,,,,,,
Z02_sp5_A05_h20,686.7,50 000.00,854.95,1.33,1 310.24 (2.52%),216.54 (0.43%),376,752,358 (95.21%),18 (4.79%),3 471.07,-2 616.12,3.95,16.11,1 023.71,-465.98
Z02_sp5_A05_h20,686.8,50 000.00,854.95,1.33,1 310.24 (2.52%),216.54 (0.43%),376,752,358 (95.21%),18 (4.79%),3 471.07,-2 616.12,3.95,16.11,1 023.71,-465.98
Z02_sp5_A05_h20,687.1,50 000.00,854.95,1.33,1 310.24 (2.52%),216.54 (0.43%),376,752,358 (95.21%),18 (4.79%),3 471.07,-2 616.12,3.95,16.11,1 023.71,-465.98
H05_base_harv5,1801.5,,,,,,,,,,,,,,,
Z02_sp5_A05_h30,684.5,50 000.00,366.83,1.29,1 239.10 (2.40%),125.38 (0.25%),152,304,143 (94.08%),9 (5.92%),1 630.12,-1 263.29,2.93,17.05,587.01,-257.82
Z02_sp5_A05_h30,684.4,50 000.00,366.83,1.29,1 239.10 (2.40%),125.38 (0.25%),152,304,143 (94.08%),9 (5.92%),1 630.12,-1 263.29,2.93,17.05,587.01,-257.82
Z02_sp5_A05_h30,687.0,50 000.00,366.83,1.29,1 239.10 (2.40%),125.38 (0.25%),152,304,143 (94.08%),9 (5.92%),1 630.12,-1 263.29,2.93,17.05,587.01,-257.82
H06_wide_harv05,1801.7,,,,,,,,,,,,,,,
Z02_sp5_A10_h20,338.3,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
Z02_sp5_A10_h20,340.3,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
Z02_sp5_A10_h20,341.1,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
W07_sp15_A05,1801.8,,,,,,,,,,,,,,,
Z01_sp5_h20,1801.7,,,,,,,,,,,,,,,
W09_sp25_A05,1801.8,,,,,,,,,,,,,,,
Z02_sp5_A10_h30,716.9,50 000.00,973.84,1.20,2 539.08 (4.74%),353.68 (0.69%),622,1244,587 (94.37%),35 (5.63%),5 851.97,-4 878.13,2.75,8.97,1 600.56,-1 506.58
Z02_sp5_A10_h30,717.4,50 000.00,973.84,1.20,2 539.08 (4.74%),353.68 (0.69%),622,1244,587 (94.37%),35 (5.63%),5 851.97,-4 878.13,2.75,8.97,1 600.56,-1 506.58
Z02_sp5_A10_h30,717.0,50 000.00,973.84,1.20,2 539.08 (4.74%),353.68 (0.69%),622,1244,587 (94.37%),35 (5.63%),5 851.97,-4 878.13,2.75,8.97,1 600.56,-1 506.58
H06_wide_harv05,1801.9,,,,,,,,,,,,,,,
Z02_sp5_A20_h20,822.1,50 000.00,1 941.10,1.24,4 761.56 (8.40%),2 247.34 (4.25%),1188,2376,1096 (92.26%),92 (7.74%),9 934.79,-7 993.69,0.86,4.53,1 142.62,-1 627.46
Z02_sp5_A20_h20,822.1,50 000.00,1 941.10,1.24,4 761.56 (8.40%),2 247.34 (4.25%),1188,2376,1096 (92.26%),92 (7.74%),9 934.79,-7 993.69,0.86,4.53,1 142.62,-1 627.46
Z02_sp5_A20_h20,823.3,50 000.00,1 941.10,1.24,4 761.56 (8.40%),2 247.34 (4.25%),1188,2376,1096 (92.26%),92 (7.74%),9 934.79,-7 993.69,0.86,4.53,1 142.62,-1 627.46
H07_wide_harv1,1801.1,,,,,,,,,,,,,,,
F01_6mo_h15,1801.3,,,,,,,,,,,,,,,
W08_sp20_A05,1800.0,,,,,,,,,,,,,,,
Z01_sp5_h30,1800.9,,,,,,,,,,,,,,,
W10_sp30_A05,1801.0,,,,,,,,,,,,,,,
H07_wide_harv1,1802.0,,,,,,,,,,,,,,,
F01_6mo_h15,MT5_Tester,1655.1,50 000.00,-10 023.31,0.77,26 845.98 (40.17%),17 940.17 (30.98%),4760,9520,4470 (93.91%),290 (6.09%),34 418.13,-44 441.44,-0.56,-2.11,1 023.40,-7 107.13
F03_6mo_h30,MT5_Tester3,1667.6,50 000.00,-10 050.43,0.79,29 535.30 (42.51%),20 005.57 (33.37%),4785,9570,4465 (93.31%),320 (6.69%),36 795.84,-46 846.27,-0.50,-2.36,2 060.32,-7 936.34
Z02_sp5_A20_h30,1800.4,,,,,,,,,,,,,,,
Z02_sp5_A20_h30,1800.6,,,,,,,,,,,,,,,
Z02_sp5_A20_h30,1800.4,,,,,,,,,,,,,,,
F02_6mo_h20,MT5_Tester2,1749.5,50 000.00,-10 228.62,0.81,35 247.83 (46.99%),23 540.41 (37.18%),5320,10640,4920 (92.48%),400 (7.52%),44 870.67,-55 099.29,-0.43,-1.90,1 521.50,-2 428.11
H08_wide_harv2,1800.4,,,,,,,,,,,,,,,
F02_6mo_h20,1800.4,,,,,,,,,,,,,,,
W09_sp25_A05,1802.0,,,,,,,,,,,,,,,
Z01_sp5_h50,1802.0,,,,,,,,,,,,,,,
W11_sp50_A05,1802.0,,,,,,,,,,,,,,,
H08_wide_harv2,1800.1,,,,,,,,,,,,,,,
F04_6mo_h10,MT5_Tester,1801.3,,,,,,,,,,,,,,,
S02_sp2_h20,MT5_Tester2,32.4,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
S03_sp3_h20,MT5_Tester3,34.5,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
Z03_sp5_A05_SL3_h20,1800.7,,,,,,,,,,,,,,,
Z03_sp5_A05_SL3_h20,1800.8,,,,,,,,,,,,,,,
Z03_sp5_A05_SL3_h20,1800.7,,,,,,,,,,,,,,,
H09_wide_harv3,1800.7,,,,,,,,,,,,,,,
F03_6mo_h30,1800.8,,,,,,,,,,,,,,,
S05_sp7_h20,MT5_Tester3,769.0,50 000.00,7 183.04,1.83,3 192.69 (5.29%),4 366.90 (8.23%),1617,3234,1505 (93.07%),112 (6.93%),15 828.58,-8 645.54,1.64,5.07,1 153.68,-1 586.21
S04_sp4_h20,MT5_Tester2,799.1,50 000.00,13 552.90,1.72,3 481.03 (5.19%),4 689.61 (8.34%),4603,9206,4310 (93.63%),293 (6.37%),32 343.86,-18 790.96,2.89,6.54,1 325.94,-3 420.83
W10_sp30_A05,1801.0,,,,,,,,,,,,,,,
Z02_sp5_A05_h10,1801.0,,,,,,,,,,,,,,,
W12_sp5_pure,1801.1,,,,,,,,,,,,,,,
S01_sp1_h20,MT5_Tester,1006.7,50 000.00,41 232.45,1.44,8 006.40 (8.07%),15 860.65 (19.95%),45976,91952,43872 (95.42%),2104 (4.58%),135 942.63,-94 710.18,2.60,7.01,2 019.42,-5 700.49
H09_wide_harv3,1801.2,,,,,,,,,,,,,,,
S06_sp10_h20,MT5_Tester3,752.7,50 000.00,4 357.75,1.76,3 406.30 (5.90%),3 509.12 (6.75%),824,1648,762 (92.48%),62 (7.52%),10 112.81,-5 755.06,1.24,3.72,1 078.24,-1 039.54
Z03_sp5_A05_SL5_h20,1801.9,,,,,,,,,,,,,,,
Z03_sp5_A05_SL5_h20,1801.9,,,,,,,,,,,,,,,
Z03_sp5_A05_SL5_h20,1801.8,,,,,,,,,,,,,,,
H10_wide_harv5,1801.8,,,,,,,,,,,,,,,
B02_VC3,MT5_Tester2,847.3,50 000.00,-10 621.71,0.75,26 093.17 (50.39%),18 993.34 (32.54%),2439,4878,2139 (87.70%),300 (12.30%),31 724.54,-42 346.25,-0.56,-2.22,15 539.44,-1 892.08
R12_rp050,MT5_Tester3,775.1,50 000.00,8 574.54,1.45,3 731.42 (5.99%),3 345.97 (6.14%),3137,6274,2857 (91.07%),280 (8.93%),27 646.56,-19 072.02,2.56,5.02,1 463.06,-3 073.58
H10_wide_harv5,1514.4,50 000.00,-10 299.94,0.80,32 141.95 (44.74%),21 570.37 (35.21%),4849,9698,4495 (92.70%),354 (7.30%),42 372.39,-52 672.33,-0.48,-2.77,3 439.40,-7 566.30
W11_sp50_A05,1800.6,,,,,,,,,,,,,,,
Z02_sp5_A05_h20,1800.4,,,,,,,,,,,,,,,
W13_sp10_pure,1800.5,,,,,,,,,,,,,,,
R13_rp075,MT5_Tester3,711.4,50 000.00,11 592.43,1.76,2 648.78 (4.12%),3 112.51 (5.60%),3087,6174,2842 (92.06%),245 (7.94%),26 899.45,-15 307.02,3.72,7.75,1 431.85,-1 144.50
B01_VC2,MT5_Tester,1800.5,,,,,,,,,,,,,,,
B03_VC5,MT5_Tester3,1800.5,,,,,,,,,,,,,,,
R11_rp025,MT5_Tester2,1800.8,,,,,,,,,,,,,,,
R10_rp015,MT5_Tester,1800.8,,,,,,,,,,,,,,,
Z04_sp1_h20,1800.1,,,,,,,,,,,,,,,
Z04_sp1_h20,1801.3,,,,,,,,,,,,,,,
Z04_sp1_h20,1801.5,,,,,,,,,,,,,,,
R14_rp150,MT5_Tester3,726.2,50 000.00,12 328.77,1.97,2 697.06 (4.15%),3 610.19 (6.46%),3042,6084,2848 (93.62%),194 (6.38%),25 009.87,-12 681.10,3.41,7.50,1 300.65,-2 436.88
H11_wide_A05_harv1,1800.5,,,,,,,,,,,,,,,
B04_VB2_VC3,MT5_Tester2,1800.5,,,,,,,,,,,,,,,
H11_wide_A05_harv1,1800.5,,,,,,,,,,,,,,,
W12_sp5_pure,1800.3,,,,,,,,,,,,,,,
Z02_sp5_A05_h30,1800.4,,,,,,,,,,,,,,,
W14_sp20_pure,1800.5,,,,,,,,,,,,,,,
B05_VB2_VC5,MT5_Tester,1800.5,,,,,,,,,,,,,,,
B06_VB3_VC5,MT5_Tester3,1800.7,,,,,,,,,,,,,,,
B02_VC3,MT5_Tester2,56.7,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
R15_rp200,MT5_Tester2,1800.7,,,,,,,,,,,,,,,
Z04_sp2_h20,1800.3,,,,,,,,,,,,,,,
Z04_sp2_h20,1802.1,,,,,,,,,,,,,,,
Z04_sp2_h20,1800.5,,,,,,,,,,,,,,,
H12_wide_A05_harv2,1801.0,,,,,,,,,,,,,,,
H12_wide_A05_harv2,1801.7,,,,,,,,,,,,,,,
W13_sp10_pure,1800.2,,,,,,,,,,,,,,,
Z02_sp5_A10_h10,1801.7,,,,,,,,,,,,,,,
W15_sp30_pure,1801.0,,,,,,,,,,,,,,,
P01_F04_h10,MT5_Tester,66.6,0,0,0.00,0 (0%),0 (0%),0,0,0 (0.00%),0 (0.00%),0,0,0.00,0.00,0,0
Z04_sp3_h20,1800.1,,,,,,,,,,,,,,,
Z04_sp3_h20,1801.3,,,,,,,,,,,,,,,
Z04_sp3_h20,1802.0,,,,,,,,,,,,,,,
H13_wide_A10_harv1,1801.7,,,,,,,,,,,,,,,
H13_wide_A10_harv1,1800.1,,,,,,,,,,,,,,,
W14_sp20_pure,1800.2,,,,,,,,,,,,,,,
Z02_sp5_A10_h20,1800.6,,,,,,,,,,,,,,,
W16_sp10_tp5,1801.9,,,,,,,,,,,,,,,
P02_B16_rp015,MT5_Tester2,1582.7,50 000.00,-10 006.27,0.83,28 175.58 (41.33%),18 649.20 (31.80%),5540,11080,4926 (88.92%),614 (11.08%),48 836.31,-58 842.58,-0.54,-2.06,1 485.00,-4 350.61
B16_rp015_VB2,MT5_Tester,3601.1,,,,,,,,,,,,,,,
Z05_sp07_h2,1800.3,,,,,,,,,,,,,,,
Z05_sp07_h2,1800.2,,,,,,,,,,,,,,,
Z05_sp07_h2,1800.8,,,,,,,,,,,,,,,
P05_B01_VC2,MT5_Tester2,844.9,50 000.00,-10 687.74,0.77,30 674.39 (59.79%),19 775.06 (33.47%),2506,5012,2165 (86.39%),341 (13.61%),36 509.91,-47 197.65,-0.54,-2.17,19 952.58,-1 632.96
H14_wide_A10_harv2,1800.0,,,,,,,,,,,,,,,
H14_wide_A10_harv2,1801.0,,,,,,,,,,,,,,,
P06_B03_VC5,MT5_Tester2,832.9,50 000.00,-10 185.85,0.71,21 621.87 (39.69%),18 496.06 (31.72%),2401,4802,2153 (89.67%),248 (10.33%),25 046.47,-35 232.32,-0.55,-2.20,9 047.06,-2 520.65
W15_sp30_pure,1801.1,,,,,,,,,,,,,,,
Z02_sp5_A10_h30,1801.1,,,,,,,,,,,,,,,
W17_sp10_tp15,1801.0,,,,,,,,,,,,,,,
P03_B25_ultra,MT5_Tester3,3738.0,50 000.00,6 855.20,1.16,2 650.25 (4.56%),402.83 (0.73%),2667,5334,2395 (89.80%),272 (10.20%),49 828.81,-42 973.61,17.02,17.97,1 205.46,-1 952.15
P04_B04_VB_VC3,MT5_Tester,4072.6,50 000.00,56 310.86,1.14,22 795.90 (21.48%),21 677.58 (20.42%),39387,78774,34585 (87.81%),4802 (12.19%),459 523.25,-403 212.39,2.60,4.54,4 064.24,-3 153.75
Z05_sp10_h2,1801.2,,,,,,,,,,,,,,,
Z05_sp10_h2,1801.1,,,,,,,,,,,,,,,
Z05_sp10_h2,1801.1,,,,,,,,,,,,,,,
H15_sp3_A05_harv1,1801.4,,,,,,,,,,,,,,,
P07_B17_rp025,MT5_Tester2,1617.6,50 000.00,-10 005.04,0.84,32 013.80 (44.46%),20 953.33 (34.38%),5650,11300,5026 (88.96%),624 (11.04%),52 235.50,-62 240.54,-0.48,-1.89,1 399.58,-3 555.94
H15_sp3_A05_harv1,1801.5,,,,,,,,,,,,,,,
W16_sp10_tp5,1801.8,,,,,,,,,,,,,,,
Z02_sp5_A20_h10,1801.7,,,,,,,,,,,,,,,
W18_sp20_tp10,1801.9,,,,,,,,,,,,,,,
Z05_sp15_h2,1801.6,,,,,,,,,,,,,,,
Z05_sp15_h2,1801.8,,,,,,,,,,,,,,,
Z05_sp15_h2,1801.6,,,,,,,,,,,,,,,
H16_wide_SL4_harv1,1801.2,,,,,,,,,,,,,,,
H16_wide_SL4_harv1,1801.9,,,,,,,,,,,,,,,
W17_sp10_tp15,1802.0,,,,,,,,,,,,,,,
Z02_sp5_A20_h20,1801.7,,,,,,,,,,,,,,,
W19_sp5_lvl15_A10,1801.6,,,,,,,,,,,,,,,
H17_wide_SL5_harv2,1800.1,,,,,,,,,,,,,,,
P08_B20_rp025_VC3,MT5_Tester3,4215.3,50 000.00,83 379.23,1.18,18 896.90 (15.61%),15 374.22 (13.03%),41044,82088,34548 (84.17%),6496 (15.83%),538 079.77,-454 700.54,5.42,6.57,2 828.52,-4 075.54
P09_B22_rp025_VC5,MT5_Tester,4283.1,50 000.00,63 741.21,1.15,13 821.42 (13.47%),11 199.55 (20.90%),40676,81352,34761 (85.46%),5915 (14.54%),499 129.67,-435 388.46,5.69,4.75,2 925.72,-4 710.72
H17_wide_SL5_harv2,1801.3,,,,,,,,,,,,,,,
W18_sp20_tp10,1801.3,,,,,,,,,,,,,,,
Z02_sp5_A20_h30,1801.2,,,,,,,,,,,,,,,
W20_sp10_lvl3_A03,1801.3,,,,,,,,,,,,,,,
P10_B23_rp025_VA,MT5_Tester2,3954.6,50 000.00,1 656.58,1.08,4 998.81 (8.96%),811.52 (1.62%),1629,3258,1567 (96.19%),62 (3.81%),21 997.62,-20 341.04,2.04,7.26,1 125.87,-4 998.81
B03_VC5,MT5_Tester3,852.3,50 000.00,-10 185.85,0.71,21 621.87 (39.69%),18 496.06 (31.72%),2401,4802,2153 (89.67%),248 (10.33%),25 046.47,-35 232.32,-0.55,-2.20,9 047.06,-2 520.65
H18_full_v04like,1801.0,,,,,,,,,,,,,,,
H18_full_v04like,1801.3,,,,,,,,,,,,,,,
W19_sp5_lvl15_A10,1800.7,,,,,,,,,,,,,,,
Z03_sp5_A05_SL3_h10,1800.7,,,,,,,,,,,,,,,
H19_full_sp3,1800.6,,,,,,,,,,,,,,,
H19_full_sp3,1801.2,,,,,,,,,,,,,,,
W20_sp10_lvl3_A03,1800.7,,,,,,,,,,,,,,,
Z03_sp5_A05_SL3_h20,1800.7,,,,,,,,,,,,,,,
B02_VC3,MT5_Tester2,3961.4,,,,,,,,,,,,,,,
H20_full_sp10,1800.8,,,,,,,,,,,,,,,
B04_VB2_VC3,MT5_Tester3,3961.6,,,,,,,,,,,,,,,
H20_full_sp10,1801.6,,,,,,,,,,,,,,,
Z03_sp5_A05_SL5_h10,1800.7,,,,,,,,,,,,,,,
Z03_sp5_A05_SL5_h20,682.9,50 000.00,1 112.44,1.13,480.25 (0.93%),243.89 (0.48%),1785,3570,1462 (81.90%),323 (18.10%),9 533.93,-8 421.49,4.56,8.73,82.96,-480.25
Z04_sp1_h10,674.9,50 000.00,1 377.32,1.34,1 080.38 (2.06%),71.11 (0.14%),1277,2554,1230 (96.32%),47 (3.68%),5 445.13,-4 067.81,19.37,86.55,529.79,-1 030.03
Z04_sp1_h20,672.0,50 000.00,705.57,1.34,1 048.89 (2.04%),50.50 (0.10%),647,1294,621 (95.98%),26 (4.02%),2 769.71,-2 064.14,13.97,85.13,1 026.06,-437.86
Z04_sp2_h10,661.1,50 000.00,612.58,1.24,1 093.30 (2.11%),133.29 (0.26%),601,1202,574 (95.51%),27 (4.49%),3 167.69,-2 555.11,4.60,31.98,518.20,-459.00
B05_VB2_VC5,MT5_Tester2,4088.3,50 000.00,63 436.92,1.17,17 458.13 (16.92%),17 927.12 (17.64%),38843,77686,34847 (89.71%),3996 (10.29%),440 786.16,-377 349.24,3.54,4.59,2 553.60,-4 574.72
Z04_sp2_h20,750.8,50 000.00,850.99,1.35,1 188.04 (2.29%),122.63 (0.24%),611,1222,588 (96.24%),23 (3.76%),3 269.11,-2 418.12,6.94,42.04,1 018.69,-411.00
B06_VB3_VC5,MT5_Tester3,4141.4,50 000.00,57 794.13,1.14,20 287.04 (18.26%),17 179.97 (15.97%),38980,77960,34871 (89.46%),4109 (10.54%),474 962.08,-417 167.95,3.36,3.72,3 633.86,-5 021.46
Z04_sp3_h10,694.8,50 000.00,383.23,1.13,1 363.77 (2.64%),159.72 (0.32%),463,926,438 (94.60%),25 (5.40%),3 268.18,-2 884.95,2.40,14.26,557.28,-411.33
Z04_sp3_h20,706.9,50 000.00,584.26,1.24,1 203.57 (2.32%),104.34 (0.21%),427,854,408 (95.55%),19 (4.45%),3 017.74,-2 433.48,5.60,24.87,1 018.19,-443.51
Z05_sp07_h2,759.4,50 000.00,7 183.04,1.83,3 192.69 (5.29%),4 366.90 (8.23%),1617,3234,1505 (93.07%),112 (6.93%),15 828.58,-8 645.54,1.64,5.07,1 153.68,-1 586.21
Z05_sp10_h2,722.8,50 000.00,4 357.75,1.76,3 406.30 (5.90%),3 509.12 (6.75%),824,1648,762 (92.48%),62 (7.52%),10 112.81,-5 755.06,1.24,3.72,1 078.24,-1 039.54
B07_VA005_VB2,MT5_Tester2,3961.3,,,,,,,,,,,,,,,
Z05_sp15_h2,823.0,50 000.00,2 862.36,1.73,2 469.38 (4.46%),2 276.35 (4.46%),380,760,344 (90.53%),36 (9.47%),6 791.38,-3 929.02,1.26,3.70,1 056.46,-397.64
B01_VC2,MT5_Tester,12791.1,,,,,,,,,,,,,,,
B08_VA010_VB2,MT5_Tester3,3961.5,,,,,,,,,,,,,,,
B09_VD5_VB2,MT5_Tester2,4357.5,50 000.00,74 493.69,1.31,9 256.11 (7.85%),8 501.23 (7.80%),44028,88056,35494 (80.62%),8534 (19.38%),314 606.53,-240 112.84,8.76,13.43,2 207.50,-9 215.86
B10_VD8_VB2,MT5_Tester,3961.9,,,,,,,,,,,,,,,
B11_FULL_def,MT5_Tester3,3928.1,50 000.00,38 507.54,1.37,2 377.31 (2.90%),683.31 (0.85%),19640,39280,15859 (80.75%),3781 (19.25%),142 811.19,-104 303.65,56.35,26.03,1 678.34,-2 317.94
B12_FULL_med,MT5_Tester2,3923.3,50 000.00,52 896.69,1.37,3 482.01 (5.23%),880.66 (1.34%),24122,48244,20995 (87.04%),3127 (12.96%),197 630.65,-144 733.96,60.06,21.49,2 856.89,-3 482.01
B13_sp10_VB2_VC5,MT5_Tester,3999.9,50 000.00,14 907.44,1.08,18 543.59 (26.42%),16 788.94 (24.27%),11643,23286,10131 (87.01%),1512 (12.99%),201 035.95,-186 128.51,0.89,1.64,2 647.08,-3 059.02
B14_sp15_VB2_VC5,MT5_Tester3,3957.3,50 000.00,7 949.49,1.06,9 225.83 (17.39%),9 684.34 (18.73%),5633,11266,4722 (83.83%),911 (16.17%),133 144.42,-125 194.93,0.82,0.97,1 394.12,-2 558.18
